index,Name of the city,Name of the country,"Meal, Inexpensive Restaurant (USD)","Meal for 2 People, Mid-range Restaurant, Three-course (USD)",McMeal at McDonalds (or Equivalent Combo Meal) (USD),"Domestic Beer (0.5 liter draught, in restaurants) (USD)","Imported Beer (0.33 liter bottle, in restaurants) (USD)","Cappuccino (regular, in restaurants) (USD)","Coke/Pepsi (0.33 liter bottle, in restaurants) (USD)","Water (0.33 liter bottle, in restaurants) (USD)","Milk (regular), (1 liter) (USD)",Loaf of Fresh White Bread (500g) (USD),"Rice (white), (1kg) (USD)",Eggs (regular) (12) (USD),Local Cheese (1kg) (USD),Chicken Fillets (1kg) (USD),Beef Round (1kg) (or Equivalent Back Leg Red Meat) (USD),Apples (1kg) (USD),Banana (1kg) (USD),Oranges (1kg) (USD),Tomato (1kg) (USD),Potato (1kg) (USD),Onion (1kg) (USD),Lettuce (1 head) (USD),"Water (1.5 liter bottle, at the market) (USD)","Bottle of Wine (Mid-Range, at the market) (USD)","Domestic Beer (0.5 liter bottle, at the market) (USD)","Imported Beer (0.33 liter bottle, at the market) (USD)",Cigarettes 20 Pack (Marlboro) (USD),One-way Ticket (Local Transport) (USD),Monthly Pass (Regular Price) (USD),Taxi Start (Normal Tariff) (USD),Taxi 1km (Normal Tariff) (USD),Taxi 1hour Waiting (Normal Tariff) (USD),Gasoline (1 liter) (USD),Volkswagen Golf 1.4 90 KW Trendline (Or Equivalent New Car) (USD),Toyota Corolla Sedan 1.6l 97kW Comfort (Or Equivalent New Car) (USD),"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment (USD)",1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans) (USD),"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL) (USD)","Fitness Club, Monthly Fee for 1 Adult (USD)",Tennis Court Rent (1 Hour on Weekend) (USD),"Cinema, International Release, 1 Seat (USD)","Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child (USD)","International Primary School, Yearly for 1 Child (USD)",1 Pair of Jeans (Levis 501 Or Similar) (USD),"1 Summer Dress in a Chain Store (Zara, H&M, â€¦) (USD)",1 Pair of Nike Running Shoes (Mid-Range) (USD),1 Pair of Men Leather Business Shoes (USD),Apartment (1 bedroom) in City Centre (USD),Apartment (1 bedroom) Outside of Centre (USD),Apartment (3 bedrooms) in City Centre (USD),Apartment (3 bedrooms) Outside of Centre (USD),Price per Square Meter to Buy Apartment in City Centre (USD),Price per Square Meter to Buy Apartment Outside of Centre (USD),Average Monthly Net Salary (After Tax) (USD),"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate","0 if Numbeo considers that more contributors are needed to increase data quality, else 1"
146,Detroit,United States,15.63,60.0,8.25,4.75,6.0,4.79,2.05,1.57,0.92,2.94,3.51,3.12,12.24,13.22,16.73,4.23,1.64,4.13,3.84,3.17,2.76,1.41,1.88,10.0,1.86,2.54,8.0,2.0,60.0,3.0,1.24,15.0,1.28,25000.0,26901.67,249.06,0.33,70.67,40.33,31.67,12.25,450.0,13500.0,53.5,40.0,86.29,103.43,1266.67,880.0,2716.67,1666.67,1076.39,1130.21,3926.67,5.21,1
278,Cincinnati,United States,15.0,60.0,7.58,4.5,6.0,3.91,2.08,1.65,0.79,2.56,3.31,2.63,11.76,12.81,13.76,4.17,1.44,3.71,4.02,2.28,2.38,1.54,1.77,12.99,2.84,2.72,7.0,2.0,77.5,4.38,1.24,25.0,1.17,23195.0,22731.25,127.96,0.17,57.93,27.22,19.1,12.25,1166.67,8333.33,37.0,40.71,73.0,84.33,1473.33,1083.33,2925.0,1485.0,2421.88,1399.31,3621.99,5.14,1
295,Columbus,United States,15.0,62.5,8.25,5.0,6.0,4.43,2.11,1.56,0.8,2.32,3.31,2.34,10.37,11.87,15.62,5.31,1.68,3.43,3.63,2.75,2.59,1.5,1.57,12.0,2.88,3.21,7.98,2.1,62.0,3.5,1.84,22.5,1.14,26500.0,23214.29,183.48,0.2,59.16,37.82,21.67,12.0,1512.5,24833.33,44.33,38.44,75.29,85.77,1275.0,1000.3,2454.55,1673.0,5023.16,2045.14,4423.6,5.01,1
474,Kitchener,Canada,14.89,72.96,8.93,4.47,4.84,2.48,1.22,1.33,1.82,2.34,2.69,2.78,11.56,10.75,15.63,2.93,1.0,3.77,3.94,1.49,1.78,1.86,1.48,11.17,2.36,3.67,11.17,2.61,67.01,2.61,1.56,26.06,1.42,20102.25,19471.27,146.88,0.19,57.55,31.46,16.75,11.17,818.98,,44.82,32.01,66.9,94.72,1295.17,1164.75,1788.93,1657.82,5993.28,5686.92,2749.91,5.58,1
662,Dayton,United States,8.0,54.0,7.5,3.25,6.0,3.79,2.25,1.27,0.83,2.68,2.72,1.84,6.06,12.87,8.7,4.1,1.35,3.86,4.5,3.15,2.29,1.13,1.35,15.0,3.57,3.9,7.26,2.0,55.0,2.0,1.43,30.0,1.09,22000.0,22235.29,125.84,0.4,67.21,29.0,30.0,12.0,900.0,6166.67,41.12,29.38,80.33,81.28,1096.25,766.67,1500.0,1225.0,,,3333.33,5.43,0
1068,London,Canada,18.61,78.92,9.68,4.47,4.84,3.5,1.93,1.49,1.74,2.29,2.74,2.61,10.9,8.02,12.87,3.29,1.02,3.02,4.02,1.79,1.81,1.98,1.37,11.17,2.39,2.98,10.72,2.23,70.73,2.89,1.49,18.61,1.39,22335.84,18547.06,130.32,0.25,59.97,29.25,26.8,11.16,967.89,17669.71,64.49,37.56,80.13,94.28,1346.41,1066.44,2542.94,1578.98,7134.03,3480.67,3436.8,4.53,1
1205,Ann Arbor,United States,15.0,80.0,8.32,5.0,6.0,4.77,2.54,2.11,0.88,2.57,4.41,2.67,14.99,12.13,11.02,6.0,1.62,5.22,4.76,3.23,3.06,1.76,2.0,13.99,2.62,2.75,8.25,1.62,58.0,3.5,1.86,24.0,1.17,20500.0,22387.67,158.94,0.2,65.94,43.33,0.0,11.0,1900.0,11466.67,56.5,36.25,76.11,108.5,1800.0,1320.0,3900.0,2427.5,4426.66,2717.89,3710.25,5.43,1
1234,Vaughan,Canada,14.89,74.45,10.05,4.47,5.96,3.47,1.82,1.58,2.41,2.14,3.23,2.52,12.66,13.72,6.55,3.16,1.68,3.09,3.13,2.28,2.4,1.65,1.96,13.77,2.23,3.57,11.17,2.89,116.15,2.87,1.68,22.34,1.42,18240.93,21094.96,162.7,0.22,57.03,34.43,29.78,9.67,1116.79,17868.67,54.67,40.95,83.91,115.28,1712.41,1451.83,2978.11,2233.58,5211.7,3722.64,3350.38,4.88,1
2187,Guelph,Canada,14.15,74.45,7.45,4.47,5.4,3.6,1.61,1.38,1.62,2.54,3.1,3.49,20.47,9.98,15.2,3.11,1.24,3.05,2.88,2.45,2.61,2.07,1.9,13.4,2.37,2.33,11.17,2.23,59.56,2.23,1.79,23.82,1.39,19357.73,17196.73,128.04,0.32,60.41,38.22,6.45,11.54,967.89,,45.83,26.06,77.76,87.48,1268.18,1187.11,2009.4,1909.3,4537.53,3432.52,3400.01,8.07,1
2210,Cambridge,Canada,15.64,61.42,9.68,5.03,4.71,3.12,1.48,1.15,1.96,2.33,2.09,2.71,7.07,9.86,9.13,1.86,0.87,1.41,4.08,2.18,1.54,1.69,1.6,10.52,2.32,2.58,11.17,2.61,67.01,2.98,1.38,22.34,1.37,19914.26,18455.25,124.72,0.24,58.54,74.45,,11.17,818.98,17124.14,50.45,28.54,82.97,103.99,1116.79,893.43,1861.32,1377.38,,,2283.22,7.25,0
